,0
SMART,3
gator,3
MINIVAN,3
SKID LOADE,3
Cmix,3
Chevy,3
CART,3
BOAT,3
ambulette,3
MTA bus,3
e-scooter,3
Budge,3
Pick-Up,3
Freight,3
USPOS,3
motorcycle,3
SC,3
white,3
Ambulence,3
utility ve,3
AMBULACE,3
FRHT,3
GMC V,3
Van truck,3
miniv,3
pick up tr,3
E-bik,3
Util,3
USPS truck,3
Electric s,3
CAMPE,3
KENWO,3
UNKNOWN VE,3
golf cart,3
Dirtbike,3
Work Van,3
Dump Truck,3
Ice C,3
VAN/TRUCK,3
GMC,3
Const,3
ECONO,3
refg,3
SPRINTER,3
Cargo Van,3
road,3
plow,3
Power Shov,3
E-SCO,3
Motor scoo,3
U HAU,3
City,3
PLOW,3
EMS A,3
E350,3
dp,3
Picku,3
NYS Ambula,3
VESPA,3
mecha,3
c1,3
UTILITY VA,3
Mail Truck,3
tractor,3
UKN,3
LTR,3
Uhaul,3
R/V,3
Train,2
PZ,2
St,2
Toyota,2
Car C,2
SS,2
MTA Truck,2
Pas,2
Cargo van,2
POLICE VEH,2
SP PURPOSE,2
bsd,2
NYC fire t,2
nyc f,2
EC3,2
MOTORIZEDS,2
UNICYCLE,2
UHAUL TRAI,2
Golf cart,2
.,2
FORD AMBUL,2
Utility ve,2
UNKNW,2
N/a,2
Spc,2
dumps,2
Ford Van,2
Electric m,2
Ladder tru,2
SCOO,2
REVEL,2
3 WHE,2
FEDER,2
lift,2
us postal,2
MOVING VAN,2
MAC T,2
FDNY RIG,2
FDNY Firet,2
f1,2
hino,2
IP,2
JOHN,2
work van,2
Electric M,2
light,2
E250,2
Grumman LL,2
LOADE,2
jeep,2
MOTOR HOME,2
Trl,2
food truck,2
suburban,2
Moped scoo,2
Pavin,2
CHART,2
Van/Truck,2
FDNY firet,2
BACKHOE LO,2
FD LA,2
FD AMBULAN,2
Back,2
MOPED SCOO,2
track,2
FLATBED TR,2
SPECIAL PU,2
AMBULANE,2
ESU REP,2
D3,2
SELF-,2
Pick Up,2
omr,2
CONCR,2
ice c,2
Sweeper,2
OFF R,2
ram,2
TRUCK TRAI,2
NYC,2
EMS Ambula,2
UPS,2
conta,2
DOLLY,2
UHAUL BOX,2
2015,2
UHAUL VAN,2
detac,2
G PSD,2
Van (,2
FREIGHT VA,2
sprin,2
STERL,2
Pick up Tr,2
Sprinter,2
VAV,2
ECOM,2
ELEC,2
house on w,2
E450,2
18 WHEELER,2
mopad,2
none,2
000,2
UNKNOW,2
c3,2
Usps truck,2
Motorizeds,2
PUMP,2
BOB C,2
Tank,2
STREET CLE,2
COMPA,2
ladde,2
REVEL MOPE,2
skate,2
Refri,2
semi-,2
pickup tru,2
P PSD,2
SEGWA,2
CAB,2
boxtr,2
TCN,2
pc,2
JETSKI,2
TRT,2
movin,2
UPS T,2
PUMPER,2
e amb,2
FREIGHT TR,2
FIRE APPAR,2
Acces,2
INTL,2
NAVIG,2
Ems,2
PEDI CAB,2
Minivan,2
Work,2
omnib,2
ESCOOTER,2
FDNY Engin,2
FDNY ambul,2
600AJ,2
MECHA,2
CITY OF NE,2
frieg,2
wheelchair,2
E Bike w p,2
rmp,2
NYC S,2
GEICO,2
rz,2
oml,2
USPS VEHIC,2
SUB,2
CAMPER TRA,2
00,2
3-whe,2
NYC BUS,2
EXPRE,2
Ems truck,2
case,2
FLAT/,2
clean,2
GOV,2
ESU T,2
J1,2
mailtruck,2
Boom,2
street cle,2
backhoe,2
MTA b,2
Omnibus,2
psd,2
Left scene,2
pedic,2
BOXTRUCK,2
Go kart,2
trailor,2
Pick-,2
TRAIN,2
U HAUL,2
CON ED TRU,2
oil t,2
SBN,2
Car traile,2
SCHOOLBUS,2
DIESE,2
NISSA,2
UHAUL TRUC,2
fdny ladde,2
ECOLINE VA,2
gas scoote,2
PAS V,2
TRAILER TR,2
tower,2
ups t,2
VAN C,2
LEFT SCENE,2
H1,2
FireTruck,2
SNOW PLOW,2
LIGHT TRAI,2
Fdny truck,2
SNOWMOBILE,2
limo,2
BUCKE,2
BUSS,2
LSA,2
COMER,2
TLC,2
UNK/L,2
CHERRY PIC,2
PSH,2
DEPARTMENT,2
DOT TRUCK,2
PUMPE,2
UTV,2
WASTE,2
Econo,2
RESCU,2
FDNY Vehic,2
E BIKE,2
Bobcat,2
FD TR,2
spec,2
YELLOW BUS,2
Moped clas,2
VAn,2
DELV.,2
C,2
HOUSE ON W,2
FRT,2
Postal Veh,2
US,2
VAN F,2
FLAT BED,2
VPG,2
EMT Ambula,2
push,2
WORKH,2
spc,2
Bucket Tru,2
mta,2
UNK L,2
nyfd,2
E bik,2
FEDEX TRUC,2
MOPET,2
WHITE VAN,2
BACK HOE,2
USPS Mail,2
motor home,2
MOBILITY S,2
UHUAL,2
994,2
G PAS,2
Street swe,2
hrse,2
CONT,2
boom lift,2
GOVERNMENT,2
Moped bike,2
excavator,2
UD,2
CHEVROLET,2
GREEN,2
Carri,2
US GO,2
DOT VEHICL,2
FUEL,2
POLIC,2
Road Sweep,2
armor,2
Backhoe Lo,2
SCHOOL  BU,2
semi-trail,2
ELECR,2
3 Whe,2
Semi-,2
Farm Vehicle,2
12 PA,2
BOX VAN,2
pick up,2
CONSTRUCTI,2
DOT T,2
hi-lo,2
APP,2
JOHND,2
Motorscoot,2
NYPD VAN,2
Mack,2
TL TR,2
UHAL,2
JOHN DEERE,2
Cement Tru,2
BLACK,2
push scoot,2
CAMP,2
usps truck,2
U-Haul,2
rep,2
LMB,2
e bik,2
Box,2
Marke,2
vAN,2
e scooter,2
chev,2
LIMO/,1
DOT TOW TR,1
cat,1
bmw moped,1
utlit,1
OML/OMNIBU,1
TRAILER/FL,1
PASS VAN,1
Pick wh,1
club,1
YW SCHOOL,1
cat payloa,1
NIU,1
4door,1
NYCTA,1
wag,1
CITYWIDE,1
TOOLCAT FO,1
PROMASTER,1
tr/tr,1
TRUCK COMM,1
WSTR,1
FDNY bus,1
moter,1
COACH,1
gas mo ped,1
fedex,1
REPAI,1
Dollar Van,1
sciss,1
City vehic,1
AM/TR,1
Pickup Tru,1
JLG L,1
e-BIKE,1
Dodge ram,1
UNNKO,1
MOTOR DIRT,1
985,1
message si,1
RED T,1
DUMP GR,1
UPS t,1
tour,1
EMS/VAN,1
FD LADDER,1
MI/FU,1
Gene,1
UHAUL Trai,1
CAT32,1
escavator,1
E Skateboa,1
FDNY AMBU,1
Chevr,1
DODGE,1
E,1
FORTL,1
NYC D,1
USPS # 487,1
USPS posta,1
f350,1
ambulence,1
electronic,1
MTA V,1
towtr,1
U haul mov,1
COMB,1
E Wheelcha,1
LMTV,1
mopd,1
BED T,1
AMbul,1
CONST EQUI,1
scaff,1
Fd engine,1
ems b,1
LOCOMOTIVE,1
52? t,1
BOX CAR,1
Oil Tanker,1
TANK WH,1
marke,1
PALLET JAC,1
5,1
principle,1
MCY B,1
TLC v,1
trial,1
ART M,1
bed,1
SEMITRAILE,1
ESCOVATOR,1
Refriger T,1
WHEEL,1
RAZOR150 M,1
BoxTr,1
SchooL bus,1
FOOD DELIV,1
2DCP,1
Rds,1
KUBOT,1
M/A,1
JLG B,1
Tracktor T,1
BROOM,1
ESCOOTERSI,1
YALE,1
TOW-TRUCK,1
12 passage,1
HORSE TRAI,1
NYCFIREDEP,1
REFG/,1
Freight Va,1
Cat,1
FRIEGHTLIN,1
couri,1
LIT DIRECT,1
DRILL RIG,1
engine,1
G  CO,1
dirtb,1
DELVI,1
CAT.,1
VEHICLE 2,1
Waste truc,1
MAN B,1
basic psd,1
TOW4,1
camper tra,1
ASTRO,1
SYBN,1
MTA ESU VE,1
PETIT CAB,1
DEAGR,1
tt,1
Postal Tru,1
HAUL FOR H,1
MOPED GAS,1
Ford Trans,1
llv,1
Engi,1
Skate,1
COLL,1
black mope,1
SWEEPER,1
KP160,1
NYC FIRE D,1
TRIM,1
STAKE TRUC,1
NY CITY MT,1
US Postal,1
TRCIC,1
NYC ACS Va,1
ulili,1
frh,1
38AB-,1
MOPED/SCOO,1
speac,1
SCOTTER,1
CHEVY EXPR,1
e bike uni,1
ORANGE JLG,1
mini van,1
T650,1
LADDER CO,1
Van/R,1
YNK,1
NYPD Tow t,1
courier,1
HOE-L,1
fd tr,1
HIGHL,1
post offic,1
ELECTRIC C,1
unkl,1
DLR,1
uni e-bike,1
e skate bo,1
MOVING TRU,1
MOPED 150C,1
Sweep,1
TCM,1
G Sem,1
Carriage,1
997,1
Sciss,1
VAN FORD,1
TOW TRICK,1
NYC M,1
freight tr,1
RGS,1
green,1
atv p,1
Mta,1
amulance,1
ENTERPRISE,1
Ram Promas,1
Marked Van,1
VAS,1
black,1
NYCHA,1
LUV,1
BOBCAT/FOR,1
Budget tru,1
FORD EC2,1
DOT #,1
historical,1
VAN W,1
trai,1
Veriz,1
uhaul truc,1
Small Bus,1
bay crane,1
Horse carr,1
M21,1
freight To,1
Military v,1
Sprinter W,1
PETER,1
